date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:00	60961/60961	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:50%20GMT	http://96.8.93.198/National/Precipitation/Daily.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Daily.html	(from http://96.8.93.198/)
16:52:00	60989/60989	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:51%20GMT	http://96.8.93.198/National/Precipitation/Weekly.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Weekly.html	(from http://96.8.93.198/)
16:52:01	51105/51105	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:51%20GMT	http://96.8.93.198/National/Precipitation/Departure10.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Departure10.html	(from http://96.8.93.198/)
16:52:01	51105/51105	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:52%20GMT	http://96.8.93.198/National/Precipitation/Departure30.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Departure30.html	(from http://96.8.93.198/)
16:52:02	51104/51104	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:52%20GMT	http://96.8.93.198/National/Precipitation/Departure90.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Precipitation/Departure90.html	(from http://96.8.93.198/)
16:52:03	46605/46605	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:53%20GMT	http://96.8.93.198/National/Wind/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Wind/Default.html	(from http://96.8.93.198/)
16:52:03	62937/62937	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:53%20GMT	http://96.8.93.198/National/Wind/Current.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Wind/Current.html	(from http://96.8.93.198/)
16:52:04	105808/105808	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:55%20GMT	http://96.8.93.198/National/Wind/WINDcast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Wind/WINDcast.html	(from http://96.8.93.198/)
16:52:05	52655/52655	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:55%20GMT	http://96.8.93.198/National/Wind/JetStream.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Wind/JetStream.html	(from http://96.8.93.198/)
16:52:05	46858/46858	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:56%20GMT	http://96.8.93.198/National/Humidity/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Humidity/Default.html	(from http://96.8.93.198/)
16:52:06	52823/52823	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:56%20GMT	http://96.8.93.198/National/Humidity/Current.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Humidity/Current.html	(from http://96.8.93.198/)
16:52:06	52987/52987	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:57%20GMT	http://96.8.93.198/National/Humidity/IndoorRelative.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Humidity/IndoorRelative.html	(from http://96.8.93.198/)
16:52:08	107245/107245	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:57%20GMT	http://96.8.93.198/National/Humidity/HUMIDITYcast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Humidity/HUMIDITYcast.html	(from http://96.8.93.198/)
16:52:09	105812/105812	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:57%20GMT	http://96.8.93.198/National/Humidity/FOGcast.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Humidity/FOGcast.html	(from http://96.8.93.198/)
16:52:09	54032/54032	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:51:59%20GMT	http://96.8.93.198/National/Humidity/DewPoint.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Humidity/DewPoint.html	(from http://96.8.93.198/)
16:52:09	46348/46348	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Jul%202019%2020:52:01%20GMT	http://96.8.93.198/National/Analysis/Default.aspx	C:/My%20Web%20Sites/Intellicast/96.8.93.198/National/Analysis/Default.html	(from http://96.8.93.198/)
